name,country,source,website,email,phone,address,industry,sub_industry,contact_person,contact_title,products_services,tender_categories,source_url,notes
Appliance Traders Limited,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
BNS,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Caribbean Broilers,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
CARIMED,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
CEMEX/Caribbean Cement,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Citi Group,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Continental Baking Company Limited,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Digicel,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
FLOW,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Grace Kennedy Group,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
ICD Group,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
island Grill,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Kingston Wharves Limited,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Jakes Hotel and Spa,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Jamaica Fibreglass Products Ltd.,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Jamaica Pegasus,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Jamaica Producers,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Jamaica Public Service Co.,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
JMMB,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
JN Group,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Musson Group,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
National Commercial Bank Limited,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
PanJamaica Group,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Rainforest,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Red Stripe,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
RJR/Gleaner Communications Group,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Sagicor,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Sterling Asset Management,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
VM Group,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
WISYNCO,Jamaica,PSOJ,,,,,Corporate member,,,,,,https://www.psoj.org/council-members/,
Global Services Association,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Human Resources Management Association of Jamaica,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Incorporated Masterbuilders Association of Jamaica,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Insurance Association of Jamaica,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Institute of Chartered Accountants of Jamaica,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Jamaica Bankers Association,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Jamaica Developers Association,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Jamaica Employers Federation,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Jamaica Hotel and Tourist Association,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Jamaica Manufacturers and Exporters Association,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Jamaica Securities Dealers Association,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Medical Association of Jamaica,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
MSME Alliance,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Realtors Association of Jamaica,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
Shipping Association of Jamaica,Jamaica,PSOJ,,,,,Industry association,,,,,,https://www.psoj.org/council-members/,
